Ref,Val,Package,PosX,PosY,Rot,Side
"REF**1","Power_inlet_vertical","Wurth-694106402002",-0.340000,0.680945,180.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",4.920001,0.262768,90.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",2.828189,0.540000,0.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",2.595906,0.540000,0.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",3.590000,0.740000,0.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",3.140000,1.140000,180.000000,top
"C5","C_0805_22pf","C_0805_2012Metric",2.340000,1.140000,180.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",0.940000,0.240000,-90.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",0.540000,0.240000,-90.000000,top
"C8","C_0805_10uf","C_0805_2012Metric",0.489803,1.340000,-90.000000,top
"C9","C_0805_10uf","C_0805_2012Metric",1.721890,1.369921,-90.000000,top
"C10","C_0805_10uf","C_0805_2012Metric",3.140787,1.356535,-90.000000,top
"C11","C_0805_10uf","C_0805_2012Metric",4.489803,1.356535,-90.000000,top
"C12","C_0805_0.1uf","C_0805_2012Metric",0.390000,1.340000,90.000000,top
"C13","C_0805_0.1uf","C_0805_2012Metric",1.825039,1.369921,90.000000,top
"C14","C_0805_0.1uf","C_0805_2012Metric",3.040787,1.356535,90.000000,top
"C15","C_0805_0.1uf","C_0805_2012Metric",4.340000,1.356535,90.000000,top
"C16","C_0805_0.1uf","C_0805_2012Metric",4.320315,1.015591,-90.000000,top
"D1","LED_0805","LED_0805_2012Metric",2.410866,0.340000,180.000000,top
"D2","KWM-30881CVB","KWM-30881CVB",0.737638,2.511654,0.000000,top
"D3","KWM-30881CVB","KWM-30881CVB",2.064409,2.511654,0.000000,top
"D4","KWM-30881CVB","KWM-30881CVB",3.402992,2.511654,0.000000,top
"D5","KWM-30881CVB","KWM-30881CVB",4.740000,2.511654,0.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",3.740000,0.640000,180.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",2.140000,0.440000,0.000000,top
"J4","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",3.040000,0.240000,90.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",2.880000,0.240000,-90.000000,top
"R1","R_0805_2.2K","R_0805_2012Metric",2.410866,0.216378,180.000000,top
"R2","R_0805_10K","R_0805_2012Metric",3.590000,0.840000,0.000000,top
"R3","R_0805_47","R_0805_2012Metric",3.599843,0.995906,90.000000,top
"R4","R_0805_47","R_0805_2012Metric",3.599843,1.140000,-90.000000,top
"R5","R_0805_10K","R_0805_2012Metric",0.473858,3.330157,90.000000,top
"R6","R_0805_10K","R_0805_2012Metric",4.473858,3.330157,90.000000,top
"R7","R_0805_10K","R_0805_2012Metric",1.800630,3.330157,90.000000,top
"R8","R_0805_10K","R_0805_2012Metric",3.135276,3.330157,90.000000,top
"R9","R_0805_4.7K","R_0805_2012Metric",3.740000,0.440000,0.000000,top
"R10","R_0805_4.7K","R_0805_2012Metric",3.740000,0.340000,0.000000,top
"R11","R_0805_10K","R_0805_2012Metric",0.690787,1.369921,0.000000,top
"R12","R_0805_10K","R_0805_2012Metric",2.040000,1.390000,0.000000,top
"R13","R_0805_10K","R_0805_2012Metric",3.340000,1.369921,0.000000,top
"R14","R_0805_10K","R_0805_2012Metric",4.698268,1.369921,0.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",1.340000,0.346299,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",0.737638,3.330157,180.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.740000,3.330157,180.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.064409,3.330157,180.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.402992,3.330157,180.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",3.440000,0.940000,-90.000000,top
"U2","L7805","TO-252-2",0.740000,0.385669,-90.000000,top
"U3","DS1307_DIP-8","DIP-8_W7.62mm",4.202205,0.228189,180.000000,top
"U4","MAX7219","DIP-24_W7.62mm",0.189803,1.490394,90.000000,top
"U5","MAX7219","DIP-24_W7.62mm",1.525039,1.490394,90.000000,top
"U6","MAX7219","DIP-24_W7.62mm",2.851811,1.490394,90.000000,top
"U7","MAX7219","DIP-24_W7.62mm",4.189803,1.490394,90.000000,top
"U8","ADT7410","SOIC-8_3.9x4.9mm_P1.27mm",4.084094,0.976220,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",2.740000,1.140000,0.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",4.399055,0.240000,-90.000000,top
